Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,Hundred,Fifty,Duck,Four,Six,Team,BO,Boundary_percent,Avg_bf
SA Yadav ,15.0,14.0,2.0,511.0,103.0,42.58,276.0,185.14,1.0,4.0,1.0,56.0,24.0,MI,4.0,72.01565557729941,19.714285714285715
RK Singh ,14.0,14.0,6.0,474.0,67.0,59.25,317.0,149.52,0.0,4.0,0.0,31.0,29.0,KKR,5.0,62.869198312236286,22.642857142857142
NT Tilak Varma ,10.0,9.0,3.0,274.0,84.0,45.66,173.0,158.38,0.0,1.0,0.0,21.0,18.0,MI,5.0,70.07299270072993,19.22222222222222
B Sai Sudharsan ,6.0,6.0,1.0,223.0,62.0,44.6,178.0,125.28,0.0,2.0,0.0,20.0,5.0,GT,4.0,49.327354260089685,29.666666666666668
