Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,Hundred,Fifty,Duck,Four,Six,Team,BO,Boundary_percent,Avg_bf
F du Plessis ,14.0,14.0,1.0,730.0,84.0,56.15,475.0,153.68,0.0,8.0,0.0,60.0,36.0,RCB,1.0,62.465753424657535,33.92857142857143
Shubman Gill ,15.0,15.0,2.0,722.0,104.0,55.53,484.0,149.17,2.0,4.0,1.0,71.0,23.0,GT,1.0,58.448753462603875,32.266666666666666
V Kohli ,14.0,14.0,2.0,639.0,101.0,53.25,457.0,139.82,2.0,6.0,1.0,65.0,16.0,RCB,1.0,55.712050078247266,32.642857142857146
DP Conway ,15.0,14.0,2.0,625.0,92.0,52.08,456.0,137.06,0.0,6.0,1.0,73.0,16.0,CSK,1.0,62.08,32.57142857142857
YBK Jaiswal ,14.0,14.0,1.0,625.0,124.0,48.07,382.0,163.61,1.0,5.0,1.0,82.0,26.0,RR,1.0,77.44,27.285714285714285
RD Gaikwad ,15.0,14.0,1.0,564.0,92.0,43.38,384.0,146.87,0.0,4.0,0.0,43.0,29.0,CSK,1.0,61.347517730496456,27.428571428571427
S Dhawan ,11.0,11.0,2.0,373.0,99.0,41.44,261.0,142.91,0.0,3.0,1.0,49.0,12.0,PBKS,1.0,71.84986595174263,23.727272727272727
